reason,description,count,fraction_of_dataset
full_duplicate,Exact duplicate row (identical label and pixels),3866,0.06443333333333333
same_label_duplicate,Duplicate image within the same class,3866,0.06443333333333333
label_conflict,Identical image assigned conflicting labels,0,0.0
out_of_range,"Pixel value outside [0, 255]",0,0.0
near_empty,Near-empty image (too few active pixels),0,0.0
near_full,Near-completely-filled image (too many active pixels),0,0.0
intensity_outlier,Outlier intensity/fill statistic within its class,462,0.0077
centroid_outlier,Far from class centroid in pixel space,461,0.007683333333333334
knn_outlier,kNN-distance outlier in PCA space,300,0.005
isolation_forest_outlier,Isolation Forest outlier in PCA space,600,0.01
ANY_ANOMALY,"Any anomaly reason (union, unique rows)",1409,0.023483333333333332
