class,count,proportion,required_n,sufficient
0,5923,0.09871666666666666,136.71745217262216,True
1,6742,0.11236666666666667,153.26508654862218,True
2,5958,0.0993,137.43632864639997,True
3,9997,0.16661666666666666,213.37099704728882,True
4,5842,0.09736666666666667,135.0497559886222,True
5,5421,0.09035,126.29164344159997,True
6,5918,0.09863333333333334,136.6146701646222,True
7,6265,0.10441666666666667,143.6970861822222,True
8,5851,0.09751666666666667,135.2353321598222,True
9,2083,0.034716666666666667,51.494988001955534,True
