dataset,class,f1
original,0,0.9842559674961909
original,1,0.989010989010989
original,2,0.980068060281964
original,3,0.9797330696984676
original,4,0.979757085020243
original,5,0.977107761027359
original,6,0.9817613340281397
original,7,0.9757281553398058
original,8,0.9748589020010262
original,9,0.9661786976274609
balanced,0,0.9842078451349975
balanced,1,0.9846692947875603
balanced,2,0.9739884393063584
balanced,3,0.9786176031824962
balanced,4,0.973630831643002
balanced,5,0.9721293199554069
balanced,6,0.975051975051975
balanced,7,0.9694026226323458
balanced,8,0.9664082687338501
balanced,9,0.9672213817448311
cleaned,0,0.9812468322351748
cleaned,1,0.9846018477782666
cleaned,2,0.9733397964129908
cleaned,3,0.9662921348314607
cleaned,4,0.9695121951219512
cleaned,5,0.9650900900900901
cleaned,6,0.9723814486711829
cleaned,7,0.9691629955947136
cleaned,8,0.964633521271143
cleaned,9,0.9602415702063413
