dataset,activation,dropout,val_macro_f1,test_accuracy,test_macro_f1,test_weighted_f1,test_error_rate,mean_conf_correct,mean_conf_incorrect,best_epoch,num_parameters,train_seconds
original,relu,0.0,0.9800016766543503,0.9789,0.9787027243942268,0.9788992625662699,0.0211,0.9941033011335304,0.8186264042922938,13,235146,36.63
original,relu,0.2,0.9826535913194642,0.9818,0.9816748361479511,0.9817697367934157,0.0182,0.9947036737418394,0.819829051146645,23,235146,115.34
original,relu,0.5,0.9825647224225372,0.978,0.9777790816912113,0.9779596243592487,0.022,0.9910552113551977,0.7560575539224267,23,235146,134.74
original,tanh,0.0,0.9830788105546076,0.979,0.9788460021531646,0.9789723317749845,0.021,0.9954181356940422,0.8120993812103325,20,235146,56.78
original,tanh,0.2,0.9814809544174359,0.977,0.9767707055594365,0.9769482032989143,0.023,0.9928183652891104,0.7956045004893145,20,235146,86.92
original,tanh,0.5,0.9739297036227882,0.9733,0.9730804149363508,0.9732441993609032,0.0267,0.990501473982472,0.7704151463545064,30,235146,118.15
original,gelu,0.0,0.9814322184628994,0.9792,0.9791216802629901,0.9791689604100605,0.0208,0.9955916991560776,0.8191606610906236,15,235146,72.46
original,gelu,0.2,0.9818354475445537,0.9772,0.9769459262809452,0.9771703140423773,0.0228,0.9950362258086652,0.8177006377660182,18,235146,53.92
original,gelu,0.5,0.9823071513280871,0.9799,0.9798046547566767,0.9798551551719457,0.0201,0.9924403658753894,0.7931494866436402,23,235146,66.23
balanced,relu,0.0,0.9697414123688273,0.9703,0.9701464550113192,0.9702808923701401,0.0297,0.9920124640831725,0.8020588594219756,17,235146,18.41
balanced,relu,0.2,0.9701924668669974,0.9717,0.971517587164637,0.9716575514386135,0.0283,0.9923353534978351,0.8188902101365768,21,235146,21.62
balanced,relu,0.5,0.9674375019402431,0.9701,0.9698312241959484,0.970051451382889,0.0299,0.9874937797533494,0.7738709163048116,21,235146,23.67
balanced,tanh,0.0,0.9662898250425588,0.969,0.9686772083649433,0.9689793759630692,0.031,0.9917833103802611,0.8097604527945885,23,235146,34.77
balanced,tanh,0.2,0.9625588235858308,0.9669,0.9665863441070529,0.9668626066717035,0.0331,0.9855145085241359,0.7767796568212259,17,235146,21.01
balanced,tanh,0.5,0.9591244223543779,0.9612,0.960775454555342,0.9611545833613371,0.0388,0.9838260907065314,0.7708508550396027,30,235146,28.26
balanced,gelu,0.0,0.9651455114168732,0.97,0.9697609448019261,0.9699798447229243,0.03,0.9912851508851382,0.8210793872472117,15,235146,22.49
balanced,gelu,0.2,0.9702370694799844,0.9716,0.9713874569383197,0.9715665998350658,0.0284,0.9901465789372015,0.8005159125387905,16,235146,17.5
balanced,gelu,0.5,0.971444192642528,0.9747,0.9745327582172824,0.9746781732561461,0.0253,0.9914111172232847,0.8209147947790189,29,235146,25.91
cleaned,relu,0.0,0.9593979152232371,0.9669,0.9666879448636081,0.9668879061306929,0.0331,0.9890520004961877,0.79052993427292,13,235146,16.96
cleaned,relu,0.2,0.9678206093327791,0.9717,0.9714767795720878,0.9716830069428543,0.0283,0.9925212670328337,0.817820411150602,23,235146,34.56
cleaned,relu,0.5,0.9663522621456236,0.9706,0.970355246360253,0.9705766233251839,0.0294,0.9907565115279897,0.7973308858099176,28,235146,22.39
cleaned,tanh,0.0,0.9581327764296379,0.9629,0.9625679246327634,0.9628482119565851,0.0371,0.9869605658667532,0.7708997775472395,14,235146,13.06
cleaned,tanh,0.2,0.9536219583439879,0.9598,0.9594298366574545,0.9597184416732556,0.0402,0.9833081667370664,0.7675375413299431,14,235146,13.91
cleaned,tanh,0.5,0.9511291121783861,0.9602,0.959870648864397,0.9601475286759976,0.0398,0.9840181144845015,0.7746819006866598,29,235146,26.55
cleaned,gelu,0.0,0.9628445130320309,0.9664,0.9662028310473483,0.9663780737236987,0.0336,0.9899079093025572,0.8042290321303812,14,235146,13.54
cleaned,gelu,0.2,0.9660627244320448,0.9732,0.972976429828433,0.9731861267314702,0.0268,0.9903828294087689,0.7993576016296903,19,235146,20.65
cleaned,gelu,0.5,0.969324869662128,0.9709,0.9706502432213314,0.9708785836221552,0.0291,0.9926167949596316,0.7965672935968445,29,235146,23.21
