dataset,framework,seed,test_macro_f1,test_accuracy,train_seconds
original,PyTorch,42,0.9788460021531646,0.979,62.340777578006964
original,JAX,42,0.9820589482137464,0.9822,107.90715674799867
original,PyTorch,43,0.9763399469407972,0.9765,61.52131921800901
original,JAX,43,0.9809566850683333,0.9811,69.22988346900092
original,PyTorch,44,0.976599905087423,0.9768,74.74291197699495
original,JAX,44,0.9799448189812556,0.9801,85.02923576597823
balanced,PyTorch,42,0.9745327582172824,0.9747,34.502361167018535
balanced,JAX,42,0.9753866846776212,0.9755,39.576704642997356
balanced,PyTorch,43,0.9721369262244144,0.9723,36.49524287300301
balanced,JAX,43,0.9730300231042444,0.9732,19.2116168460052
balanced,PyTorch,44,0.973541669498891,0.9737,30.729284891975112
balanced,JAX,44,0.9732351187285065,0.9734,25.632290701993043
cleaned,PyTorch,42,0.9706502432213314,0.9709,34.13153230099124
cleaned,JAX,42,0.9691880290839068,0.9694,20.20585979401949
cleaned,PyTorch,43,0.9690688329963356,0.9693,29.87247508901055
cleaned,JAX,43,0.9714835497257113,0.9717,27.01711471998715
cleaned,PyTorch,44,0.9712059576642526,0.9714,25.943797377985902
cleaned,JAX,44,0.9727157435174687,0.9729,24.87621422400116
